id;title;content;date
1;Credit Card Account Licensed;../fake-data/blob/hipster.txt;2020-04-13T15:38:04
2;SMS challenge;../fake-data/blob/hipster.txt;2020-04-13T15:38:45
3;card optical Quality;../fake-data/blob/hipster.txt;2020-04-13T05:31:10
4;bluetooth;../fake-data/blob/hipster.txt;2020-04-13T10:34:41
5;Hat Corporate Engineer;../fake-data/blob/hipster.txt;2020-04-13T07:27:52
6;installation deploy;../fake-data/blob/hipster.txt;2020-04-13T04:11:53
7;Unbranded Fresh Sausages;../fake-data/blob/hipster.txt;2020-04-13T16:51:03
8;Unbranded Stand-alone calculating;../fake-data/blob/hipster.txt;2020-04-13T13:39:20
9;Division support Intranet;../fake-data/blob/hipster.txt;2020-04-13T18:27:24
10;hack bricks-and-clicks;../fake-data/blob/hipster.txt;2020-04-13T06:37:49
